name,description,ring,quadrant,isNew
Test-Driven Development (TDD),"Test-dreven utvikling gir teamet og interessentert trygghet i at ting fungerer som det skal. Det skaper også en omforent og tydeligere domeneforståelse. Vi heier på test-dreven utvikling, på tross av et noe frynsete rykte hos enkelte. Av den grunn vil flere av våre teknologiledere ta med seg dette inn i oppdraget som om det var deres høyre hånd.",Nivå 2,Teknisk,Ja
Behaviour-Driven Development (BDD),"Behaviour-Driven Development (BDD) er TDD på steroider. Vi tenker dette høres spennende ut, og våre teknologiledere kan nok til å bruke det dersom kundene våre ønsker dette.",Nivå 3,Teknisk,Ja
Trunk-basert utvikling,"Trunk-basert utvikling — kontinuerlig utvikling mot én uomtvistelig kodestamme — korellerer sterkt med høytpresterende team. Det er også en forutsetning for skalerbare systemer og økt fart og flyt i arbeidet. Våre teknologiledere vet hva dette er, og kan argumentere godt for det. Noen kan til og med identifisere hvordan dette prinsippet kan benyttes i andre kontekster også.",Nivå 1,Teknisk,Ja
Mikrotjenester / Løst koblet arkitektur,"Man kan ikke kalle seg en teknologileder uten å vite hvorfor løse koblinger er viktig, og hvordan mikrotjenester eller mesotjenester bidrar til å oppnå dette målbildet. Vi mener at teknologiledere skal kunne teori og god praksis rundt dette. Og Caprakonsulenter, de kan det godt.",Nivå 1,Teknisk,
AI,"Skummelt eller kult - eller begge deler. AI/KI er superspennende, og vi følger med og reflekterer over hvordan det påvirker hverdagen til teknologiledere, og kanskje spesielt hvordan det kan bidra til økt verdiskapning for kundene våre og bedre opplevelser hos sluttbruker.",Nivå 3,Teknisk,
Continuous Integration / Continuous Delivery,"Langvarige feature branches eller utallige testmiljø og integrasjonsplaner er et tydelig antipattern for fart og flyt. Daglige — eller hyppigere — releaser til produksjon er målet, og for å få til det må man ha kontinuerlige integrasjoner mot én uomtvistelig kodestamme (se eget punkt om trunk-basert utvikling). Og for å få til det igjen er en robust og gjennomtenkt test-pipeline uunnværlig. Våre teknologiledere er forkjempere for CI/CD, og argumenterer svært sjeldent — eller aldri — for noe annet.",Nivå 1,Teknisk,
Feature flags,"Feature flags understøtter kontinuerlige leveranser, og bidrar derfor til fart og flyt. Med feature flags kan man redusere risikoen ved hver leveranse, fordi man kan skru av og på featurene for sluttbrukere. Vi ser på feature-flags som et helt essensielt verktøy for å få på plass kontinuerlige leveranser og mer verdiskapning.",Nivå 2,Teknisk,
Canary-releases,,Nivå 2,Teknisk,
Team Topologies,"Team Topologies er kjernen i Capras visjon og filosofi. Conway’s lov, “team-first”, og fokus på fart og flyt gjennom å redusere kognitiv last, er alle tema som faller under Team Topologies.",Nivå 1,Organisasjon,Ja
Domain-driven Design,"Domene-drevet design er et kjernekonspet for å bygge skalerbare og godt forankrede systemer og virksomheter. Et fremragende utgangspunkt for å forstå problemlandskap og løsninger, DDD er en forutsetning for Team Topologies. Flere av våre teknologiledere kjenner godt til hva dette er, hvordan det fungerer i praksis, og hvordan det påvirker deres hverdag som teknologiledere.",Nivå 2,Organisasjon,Ja
Flight Levels,"Flight Levels er et interessant konsept som påpeker viktigheten av å se på leveransetakt og arbeidskapasitet på tvers av virksomheten - både på teamnivå, organisasjonsnivå, og porteføljenivå. Vi er inspirert, og vurderer hvordan dette skal tas med inn hos kunde!",Nivå 3,Organisasjon,Ja
Conways lov,"Conways lov er vår grunnlov: Teknisk arkitektur gjenspeiler den menneskelige kommunikasjonsstrukturen som skapte den. Med andre ord, hvem man snakker med, rapporterer til, og samarbeider med, påvirker den endelige tekniske arkitekturen. Våre teknologiledere skjønner teorien og hva det betyr i praksis: Som et ledd i Team Topologies, ja - men også som en del av et lite utivklingsteam.",Nivå 1,Organisasjon,
Westrums organisasjonstopologi,"Westrums organisasjonstypologi er et verktøy som hjelper oss å kategorisere organisasjoner i henhold til hvor tilpasningsdyktige, hvor byråkratiske eller hvor dysfunksjonelle de er. Byråkrati er ikke nødvendigvis dumt, men overraskende nok er dysfunksjon noe hemmende. Flere av Capras teknologiledere kjenner til og kan kategorisere organisasjoner på denne måten, og vi tenker det er et nyttig verktøy å lære seg for de aller fleste.",Nivå 2,Organisasjon,
Servant leadership,"Ledere er til for å tjene mederabeiderene sine, i følge denne filosofien. Vi synes det virker fornuftig, dog tenker vi at det til tider kan passivisere ledere og at det i verste fall kan føre til usikkerhet. Flere av våre teknologiledere brenner for dette, og vi tenker det er et viktig konsept å kjenne til og reflektere over.",Nivå 2,Ledelse,Ja
OKR,"Objectives and Key Results (OKR) er i vinden. Å bryte opp større, hårete mål i målbare biter som man kan angripe én og én virker fornuftig. Vi mener fokuset likevel bør ligge på å forankre et felles målbilde gjennom gode diskusjoner og samtaler, der alle forstår hva og hvorfor. Om det gjøres ved hjelp av OKR eller et annet verktøy, er opp til den enkelte virksomhet og team.",Nivå 2,Ledelse,Ja
Teamkontrakter,"En teamkontrakt er viktig. Det er enda viktigere å huske på at en teamkontrakt på papiret ikke er verdt noe som helst. Forankre, forankre, forankre! Gode, kontinuerlige, og trygge kaffesamtaler i hverdagen - det er der kontrakten oppstår.",Nivå 2,Ledelse,Ja
Situasjonsbasert ledelse,"Situasjonsbasert ledelse tar som utgangspunkt at det ikke finnes én riktig lederstil, men at gode ledere tilpasser stilen etter situasjonen. Er man inne i en krevende periode med mye usikkerhet og utydelige mål? Da må lederen brette opp ærmene og sette en tydelig retning med bestemthet og trygghet. Er man i en god periode, med selvdrevne team og inspirasjon og motivasjon i massevis? Da kan en mer fasiliterende og tilretteleggende lederstil ofte være det beste.",Nivå 1,Ledelse,Ja
Psykologisk trygghet,"Psykologisk trygghet er grunnsteinen i et hvert team og enhver organisasjon. Uten dette fungerer det ikke. Våre teknologiledere skal kunne vite hva det er, hvordan man oppnår det, og hvordan man beholder det.",Nivå 1,Ledelse,Ja
Cynefin,"Cynefin er et herlig Walisisk ord som betyr “miljø”. For oss sier det noe om hvilke verktøy vi skal bruke i hvilket miljø, og at den iterative og eksperimentelle tilnærmingen i Agile ikke alltid egner seg. Vi er opptatt av å bruke riktig verktøy til riktig problem, og Cynefin-konseptet forteller oss litt om hvordan.",Nivå 1,Ledelse,
ITIL,"ITIL er et kjent rammeverk for å sikre kvalitet på leveranser og prosesserer. Vi har flere konsulenter som er flinke på dette her, og for nyansatte er dette noe man absolutt kan få inspirasjon fra.",Nivå 2,Ledelse,
Prince2,"Prince2 (”Projects In Controlled Environments 2”) er en legendarisk metode for prosjektledelse. Flere av våre kunder ser etter sertifisering og erfaring med dette, og flere av våre konsulenter leverer. I henhold til Cynefin (se annet punkt), kan Prince2 være et uunnværlig verktøy for å lose i havn kompliserte prosjekter på en trygg og god måte.",Nivå 2,Ledelse,
Agile Competency Matrix,"Agile Competency Matrix er et solid utgangspunkt for fleksibel ledelse, og har mange likheter med situasjonsbasert ledelse (se annet punkt). Vi mener konsekvent at våre teknologiledere skal ha en større verktøykasse med teknikker og holdninger som de kan tilpasse til situasjonen de står i.",Nivå 2,Ledelse,Ja
SAFe,"SAFe er et forsøk på å skalere agile prosesser på organisasjonsnivå. Det er populært i enkelte kretser. Vår vurdering er at rammeverket som helhet ikke bidrar til fart og flyt på organisasjonsnivå. Det er gode tanker og praksiser her også, men det finnes bedre måter å skalere smidig på.",Nivå 4,Smidig,Ja
LeSS,"LeSS (Large-Scale Scrum) er et forsøk på å skalere agile prosesser på organisasjonsnivå. Som med SAFe, er vår vurdering at rammeverket som helhet ikke bidrar til fart og flyt på organisasjonsnivå. Det er gode tanker og praksiser i LeSS, men det finnes bedre måter å skalere smidig på.",Nivå 4,Smidig,Ja
DORA-metrikkene,"DORA-metrikkene er en serie måleparametre som er godt forankret i forskningen. Scorer man høyt på disse, skaper man mer verdi - raskere. Vi følger forskningen og følger DORA-metrikkene, og våre teknologiledere vet hva de er, hva de brukes til, og hvordan de kan benyttes effektivt på ulike nivå i virksomheten.",Nivå 1,Smidig,Ja
Kanban,"Kanban er sjelen i smidig utvikling, og våre teknologiledere har solid kunnskap og kompetanse om dette. Med fokus på kontinuerlig verdiflyt gjennom produksjonslinjen, stabil og bærekraftig leveransetakt, samt små og iterative forbedringer, er Kanban en må-ha kompetanse for teknologiledere.",Nivå 1,Smidig,Ja
Scrum,Scrum er et populært og lettvektig rammeverk for smidig utvikling. Capras teknologiledere har god kunnskap og erfaring med dette. Samtidig mener vi at Scrum altfor ofte blir implementert og etterfulgt på en tungvint måte. Det finnes bedre rammeverk som fører til mer fart og flyt.,Nivå 4,Smidig,Ja
Continuous Discovery,"Continuous Discovery (Kontinuerlig Oppdagelse av kundens behov), er så agilt som det kommer. Vi er aldri ferdige med å forstå sluttbrukeren, og teamene vi leder og organisasjonene vi jobber for skal ha de riktige forutsetningene og gode praksiser på å kontinuerlig fange opp behov og endringer i markedet.",Nivå 1,Smidig,Ja
Systems thinking,"Systemtenkning er på mange måter en forutsetning for å lykkes som teknologileder. Dette her ligger på et høyt abstraksjonsnivå. Vi tenker likevel at de aller fleste teknologiledere har godt av å reflektere over dette, og å tenke på hvordan vi kan systematisere denne helhetlige tankegangen i praksis på alle nivå i virksomheten.",Nivå 3,Organisasjon,Ja
Design First,"Teknologibedrifter lever av kundene sine. Design First minner oss på at vi ikke koder, diskuterer, skisserer og leker oss i IDEer fordi det er gøy, men til syvende og sist fordi vi skal løse et problem for noen der ute - outcome. Hvordan ser sluttproduktet ut? Hvordan er brukerflyten? Vi jobber oss “bakover” fra outcome til konkrete arbeidsoppgaver og output i teamene.",Nivå 2,Smidig,
Parprogrammering,"Parprogrammering er en smidig praksis som fører til økt fart, flyt og velvære. Glem “Pull Requests” og “Code Reviews” - med parprogrammering får du kontinuerlig kvalitetssikring og code review samtidig som du bryter ned siloer og bidrar til kompetanseheving og trivsel hos utviklerne dine. Det norske markedet er overmodent for å ta i bruk denne praksisen, og vi står 100% inne for det.",Nivå 2,Smidig,
